"","Laps","Time1","Calories1","Time2","Calories2"
"1",1,99.3,23,94.2,19
"2",3,102.2,25,96.4,25
"3",5,100.3,25,96.7,26
"4",7,99.5,26,96.5,26
"5",9,103.4,27,102.2,27
"6",11,104.2,27,101.3,27
"7",13,105.4,27,102.1,27
"8",15,106.2,27,103.1,29
"9",17,101.6,27,96,29
"10",19,100.9,27,96.3,29
"11",21,101,27,97.3,29
"12",23,101.8,27,96.3,30
"13",25,106.2,28,104.4,29
"14",27,106,28,102.8,30
"15",29,105.6,28,103.6,30
"16",31,107.2,28,103.5,30
"17",33,102.1,27,97.7,29
"18",35,99.9,26,98.7,28
"19",37,99.6,27,97.5,29
"20",39,97.6,26,97.3,29
